full_name,aliases,date_of_birth,gender,address,identifying_marks,mo_summary,status,gang_affiliation,neo4j_node_id,image_url,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
Bharath Gowda,Bharath,1982-08-26,Male,,"Round face, gold teeth",Timber smuggling coordinator,arrested,,,,demo,,,,89c54b69-d065-42da-9669-f90f08bb0786,2026-08-29 12:45:07,2026-08-29 12:45:07
Santosh Patil,Santosh P,1985-11-11,Male,,"Short, thick mustache",IPC fraud and cheating,at_large,,,,demo,,,,8a375fae-6940-41ee-bed7-b1907e6fe26e,2026-08-29 12:45:07,2026-08-29 12:45:07
Khalid Mehmood,Khalid,1986-03-12,Male,,"Beard, heavy build",Narcotics retail distribution,at_large,,,,demo,,,,8a6e7a7a-aa95-4516-a062-d58308c32f11,2026-08-29 12:45:07,2026-08-29 12:45:07
Anil Kumar J,Anil J,1985-05-23,Male,,"Thick mustache, medium build",IPC assault repeat offender,at_large,,,,demo,,,,8ce737e6-59b1-4270-85ab-620dc0b22d8f,2026-08-29 12:45:07,2026-08-29 12:45:07
Manjunath Holla,Manju,1983-05-14,Male,,"Stocky, red birthmark neck",Stolen vehicle resale network,at_large,,,,demo,,,,abaf5d81-510e-4938-bdaa-bc63588a1723,2026-08-29 12:45:07,2026-08-29 12:45:07
Rakesh Tiwari,Rakesh T,1979-03-14,Male,,"Receding hairline, portly",Land encroachment intimidation,at_large,,,,demo,,,,bdb595ca-f4c0-4190-ac69-57695a571d53,2026-08-29 12:45:07,2026-08-29 12:45:07
Sayed Ibrahim,Sayed,1985-02-22,Male,,Tattoo on right wrist,Port logistics support for synthetic drug consignments,at_large,,,,demo,,,,bdb6d588-71f9-4e5a-9059-9aeb7858ab14,2026-08-29 12:45:07,2026-08-29 12:45:07
Vasanth Kumar,Vasu,1994-04-11,Male,,"Slim, earring",ATM break-in specialist,convicted,,,,demo,,,,c05c81b2-c782-455e-be3f-8ac22ed75c9c,2026-08-29 12:45:07,2026-08-29 12:45:07
Sameer Patel,Sameer,1986-10-25,Male,,"Glasses, short hair",Hawala money transfer operator,arrested,,,,demo,,,,c40419c7-a5fd-4a9e-9f29-c4d17faa33f7,2026-08-29 12:45:07,2026-08-29 12:45:07
Chandrashekar B,Chandru B,1988-02-08,Male,,"Mustache, medium build",Fake document printing ring,at_large,,,,demo,,,,cfe3055a-c9dc-4cbe-8a5d-d0c7455af61d,2026-08-29 12:45:07,2026-08-29 12:45:07
Naveen Reddy,Navi,1992-03-20,Male,,"Slim build, clean shaven",Phishing SMS campaigns targeting elderly,at_large,,,,demo,,,,d14f9acf-5a19-4643-915c-5f230172f78e,2026-08-29 12:45:07,2026-08-29 12:45:07
Arun Verma,Arun V,1978-04-30,Male,,"Grey hair, spectacles",Organized gambling den operator,convicted,,,,demo,,,,d319ae7d-fae7-449e-a3bf-44d2212c2193,2026-08-29 12:45:07,2026-08-29 12:45:07
Girish Nayak,Girish K,1984-11-03,Male,,Wears thick spectacles,Fake passport and visa racket,arrested,,,,demo,,,,e23a92a9-c684-4a2a-8196-0d0a0dcadd22,2026-08-29 12:45:07,2026-08-29 12:45:07
Rajesh Pai,Raju Pai,1977-10-21,Male,,"Widow's peak, stocky",Money lending extortion operations,at_large,,,,demo,,,,e29cf33d-3671-4939-bd02-dcd9bc375f60,2026-08-29 12:45:07,2026-08-29 12:45:07
Irfan Hassan,Irfan,1988-06-29,Male,,"Lean, scar on chin",Harbor smuggling logistics,at_large,,,,demo,,,,e412d489-ce18-4280-a918-1d1732688bf0,2026-08-29 12:45:07,2026-08-29 12:45:07
Pavan Kalyan R,Pavan,1993-10-05,Male,,"Slim, clean shaven",Cyber stalking and harassment,acquitted,,,,demo,,,,e66bdb42-023a-48ca-a5f5-0a7a7abfc4c1,2026-08-29 12:45:07,2026-08-29 12:45:07
Sunil Khot,Sunil K,1987-09-28,Male,,"Glasses, medium height",Fake call center scam,at_large,,,,demo,,,,ed8f808f-e666-4a73-9062-1f8f757442f1,2026-08-29 12:45:07,2026-08-29 12:45:07
Manoj Birajdar,Manoj B,1993-01-07,Male,,"Short, muscular",Illegal gambling enforcement,convicted,,,,demo,,,,fab81283-e4da-49e6-80f8-8f5d03273121,2026-08-29 12:45:07,2026-08-29 12:45:07
Tanveer Alam,Tanu,1987-07-02,Male,,"Tall, scar on forehead",Fake currency distribution,on_bail,,,,demo,,,,fc22e458-db85-47dd-8304-d6a9d88c74b2,2026-08-29 12:45:07,2026-08-29 12:45:07
Rohit Shetty K,Rohit K,1992-11-15,Male,,"Tall, sporty build",Vehicle theft for parts,arrested,,,,demo,,,,fea975d0-6440-4fd0-991c-b824df0f6fab,2026-08-29 12:45:07,2026-08-29 12:45:07
