supabase_user_id,user_id,badge_number,name,rank,station,district,designation,phone,email,status,image_url,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
,,SI-2156,Sub-Inspector Yashoda Patil,Sub-Inspector,Ramanagara Town Police Station,Ramanagara,Investigating Officer,+91 94480 12020,yashoda.p@ksp.gov.in,active,,demo,,,,5121147d-f1ba-4bf4-9391-f5b7bb9124fb,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-1046,Inspector Sameer Patel,Inspector,Udupi Town Police Station,Udupi,SHO,+91 94480 12029,sameer.p@ksp.gov.in,active,,demo,,,,59c075bd-c5d7-48bc-b115-91f5b0d2cf7b,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-6623,Inspector Basavaraj Kolkar,Inspector,Vijayapura City Police Station,Vijayapura,SHO,+91 94480 12005,basavaraj.k@ksp.gov.in,active,,demo,,,,5bbc94f3-51a0-47de-802a-dd4b4ccedab1,2026-08-29 12:45:07,2026-08-29 12:45:07
,ebb645fd-c026-4433-aa6e-1403bd75905b,VIEW-5522,Citizen Observer Priya Menon,Observer,Mangaluru City,Mangaluru,,,,active,,demo,,,,5e256fca-69fe-4d66-b59a-7ca8b731dcb9,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-2267,Inspector Kavitha Prasad,Inspector,Koramangala Police Station,Bengaluru Urban,SHO,+91 94480 12011,kavitha.p@ksp.gov.in,active,,demo,,,,643e99ee-2480-49cb-b1b0-23ff69b53493,2026-08-29 12:45:07,2026-08-29 12:45:07
,5120413d-57fd-47ad-9128-2a5b8dd553d8,IO-3921,Inspector Meera Sen,Inspector,Devaraja Police Station,Mysuru,,,,active,,demo,,,,6d399214-9acb-4a0b-98c8-ae0b2a17b775,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-9823,Inspector Irfan Hassan,Inspector,Pandeshwar Police Station,Dakshina Kannada,SHO,+91 94480 12027,irfan.h@ksp.gov.in,active,,demo,,,,83c263dd-8664-438d-8f3e-f73f66c623f9,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-3382,Sub-Inspector Muttanna Goudar,Sub-Inspector,Camp Police Station,Belagavi,Investigating Officer,+91 94480 12002,muttanna.g@ksp.gov.in,active,,demo,,,,873e3697-5086-4723-9de1-633d5f2e30bb,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-2157,Sub-Inspector Lokesh Biradar,Sub-Inspector,Karwar Town Police Station,Uttara Kannada,Investigating Officer,+91 94480 12030,lokesh.b@ksp.gov.in,active,,demo,,,,8e38105b-15a3-48cb-8fe4-88a34542ccfa,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-5501,Inspector Manoj Biradar,Inspector,Hubli City Police Station,Dharwad,SHO,+91 94480 12003,manoj.b@ksp.gov.in,active,,demo,,,,905faca5-a4ac-49a1-bc88-1d5e1907b6cb,2026-08-29 12:45:07,2026-08-29 12:45:07
,79a70cbb-03ff-4c00-b3a3-81783844507b,FSL-9033,Forensic Analyst Karthik Nair,Forensic Analyst,FSL Bengaluru,Bengaluru Urban,,,,active,,demo,,,,980d11a9-6814-4891-b6ff-3f1fe53d293c,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-0934,Sub-Inspector Nasir Shaikh,Sub-Inspector,Surathkal Police Station,Dakshina Kannada,Investigating Officer,+91 94480 12028,nasir.s@ksp.gov.in,active,,demo,,,,9ad08cd8-6824-4707-bef2-3e0d653cc3f9,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-4378,Sub-Inspector Pushpa Lakshmi,Sub-Inspector,Chamarajanagar Town Police Station,Chamarajanagar,Investigating Officer,+91 94480 12022,pushpa.l@ksp.gov.in,active,,demo,,,,a42d03ad-0de6-4b92-96ef-5ab3f60aff1e,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-2290,Sub-Inspector Sharanabasappa Deshpande,Sub-Inspector,Gadag Town Police Station,Gadag,Investigating Officer,+91 94480 12006,sharanabasappa.d@ksp.gov.in,active,,demo,,,,b19d0b00-458c-4d08-b530-342a4d4f368b,2026-08-29 12:45:07,2026-08-29 12:45:07
,4e934253-8ddd-4349-a97b-d401d6d9abaa,INS-2110,Inspector Disha Rao,Inspector,Camp Police Station,Belagavi,,,,active,,demo,,,,b2879962-dc88-441d-858d-de57d5b1e9bb,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-3378,Sub-Inspector Deepak Sharma,Sub-Inspector,HSR Layout Police Station,Bengaluru Urban,Investigating Officer,+91 94480 12012,deepak.s@ksp.gov.in,active,,demo,,,,b6852521-7d75-45f5-aa6a-c22848d304da,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-7734,Inspector Raju Patil,Inspector,Bagalkote Town Police Station,Bagalkote,SHO,+91 94480 12007,raju.p@ksp.gov.in,active,,demo,,,,b9af6e21-ff39-4174-bce7-d4fcdcfc9a9d,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-3312,Sub-Inspector Manjunath Reddy,Sub-Inspector,Chikkaballapura Town Police Station,Chikkaballapura,Investigating Officer,+91 94480 12032,manjunath.r@ksp.gov.in,active,,demo,,,,bf35b187-ebe7-4b59-8410-4293f883621a,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-4419,Sub-Inspector Fakirappa Doddamani,Sub-Inspector,Chowk Police Station,Kalaburagi,Investigating Officer,+91 94480 12004,fakirappa.d@ksp.gov.in,active,,demo,,,,c01b3bfb-4c1b-4e70-bd24-9411fd4745f0,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-7601,Inspector Santosh Mudiraj,Inspector,Davanagere Town Police Station,Davanagere,SHO,+91 94480 12025,santosh.m@ksp.gov.in,active,,demo,,,,c31cd5b1-71b1-4e9d-a06b-9fadde8f9e6f,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-8812,Sub-Inspector Nagesh Kori,Sub-Inspector,Haveri Town Police Station,Haveri,Investigating Officer,+91 94480 12008,nagesh.k@ksp.gov.in,active,,demo,,,,c64ed64b-cdd0-4f79-9a2a-f2df9ce61320,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-8712,Sub-Inspector Vinayak Kulkarni,Sub-Inspector,Chikkamagaluru Town Police Station,Chikkamagaluru,Investigating Officer,+91 94480 12026,vinayak.k@ksp.gov.in,active,,demo,,,,ca5236a4-32f9-4a78-8e38-29bb36d03874,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-1045,Inspector Ravi Shankar Bhat,Inspector,Chitradurga Town Police Station,Chitradurga,SHO,+91 94480 12019,ravishankar.b@ksp.gov.in,active,,demo,,,,cf8c9086-2c1f-460b-86ae-70194c545cf9,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-8823,Inspector Mohammed Irfan,Inspector,City Police Station,Hassan,SHO,+91 94480 12017,mohammed.i@ksp.gov.in,active,,demo,,,,d90df2b2-c392-4aed-8af3-1024b8d7e0a0,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-5489,Inspector Kiran Bhat,Inspector,Madikeri Town Police Station,Kodagu,SHO,+91 94480 12023,kiran.b@ksp.gov.in,active,,demo,,,,e44eac9d-cdbe-4431-b175-c6dd48feca28,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-9934,Sub-Inspector Prakash Naik,Sub-Inspector,Mandya Town Police Station,Mandya,Investigating Officer,+91 94480 12018,prakash.n@ksp.gov.in,active,,demo,,,,f36f5a0e-c026-4c91-9ec4-02b25920283e,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-1188,Inspector Hanumanthappa Naik,Inspector,Koppal Town Police Station,Koppal,SHO,+91 94480 12031,hanumanthappa.n@ksp.gov.in,active,,demo,,,,f477b6e3-1f4a-46d7-a02e-bb78a32dd82b,2026-08-29 12:45:07,2026-08-29 12:45:07
,,SI-5590,Sub-Inspector Lakshmi Devi,Sub-Inspector,Devanahalli Police Station,Bengaluru Rural,Investigating Officer,+91 94480 12014,lakshmi.d@ksp.gov.in,active,,demo,,,,f4d572c8-e03b-4fe6-ac9e-c227c2dd9d4c,2026-08-29 12:45:07,2026-08-29 12:45:07
,,IO-3267,Inspector Bharath Gowda,Inspector,Nazarbad Police Station,Mysuru,SHO,+91 94480 12021,bharath.g@ksp.gov.in,active,,demo,,,,f6dc8889-ba27-4574-a9b9-1734016966b5,2026-08-29 12:45:07,2026-08-29 12:45:07
,54b9c0a7-67b1-4905-aa2f-561de661cd57,SP-0088,SP Anil Kumble,Superintendent of Police,KSP HQ,State HQ,,,,active,,demo,,,,f8ebec50-a768-43cb-abc7-61829061df55,2026-08-29 12:45:07,2026-08-29 12:45:07
