fir_number,crime_case_id,investigating_officer_id,complainant_name,complainant_contact,sections,filed_at,status,narrative,attachments,dataset_provenance,source_import_job_id,source_file,source_row_ref,id,created_at,updated_at
FIR-402/CTD/2026,c40d8cdf-0193-40f6-8098-3d23b6e3503b,cf8c9086-2c1f-460b-86ae-70194c545cf9,State Complainant,,"IPC 379, 457",2026-08-02 05:50:00,registered,Backend-seeded FIR for CR-2026-CTD-002; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-CTD-002.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-CTD-002.pdf"", ""size"": 284100}]",demo,,,,0fcc4d2a-ef07-4402-b7c6-9b01f7ea7ce7,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-306/DET/2026,ce291f42-fa02-45ef-842d-04310d74a733,314c456a-4c37-43b1-99a0-4b6239463b6f,Jyothi Lingegowda,+91 98800 00025,"NDPS 21, 22",2025-09-23 01:30:00,registered,Backend-seeded FIR for CR-2026-DET-207; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-207.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-207.pdf"", ""size"": 284100}]",demo,,,,10bfb89a-005c-436b-a6c5-ac10541d1778,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-397/DET/2026,839e055f-ed6d-4aca-998f-9faff861318c,83c263dd-8664-438d-8f3e-f73f66c623f9,Sunanda Poojary,+91 98800 00040,Excise Act 32,2026-06-20 08:50:00,registered,Backend-seeded FIR for CR-2026-DET-298; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-298.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-298.pdf"", ""size"": 284100}]",demo,,,,1145e997-4746-47b3-aca4-1ddbf4a654ce,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-130/DET/2026,886fe6b7-2b1f-46ff-8886-ce82f0b0b667,35ec4bb7-90e0-43a2-9e8a-289e1339f1a0,Dr. Vinay Murthy,+91 98800 00002,"NDPS 21, 22",2024-04-09 08:00:00,registered,Backend-seeded FIR for CR-2026-DET-031; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-031.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-031.pdf"", ""size"": 284100}]",demo,,,,116f660d-6ac4-46de-a344-b3286d0cb128,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-364/DET/2026,f20dce76-ae9f-4645-a0c0-499a7d392db7,6d399214-9acb-4a0b-98c8-ae0b2a17b775,State Complainant,,"IPC 323, 324",2026-03-14 22:05:00,registered,Backend-seeded FIR for CR-2026-DET-265; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-265.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-265.pdf"", ""size"": 284100}]",demo,,,,121e7bff-4f84-4576-9d1d-560d92925d65,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-404/DET/2026,70afdf6f-d75e-4215-be22-0bdc80427de7,643e99ee-2480-49cb-b1b0-23ff69b53493,Asha Rao,+91 98800 00003,"IPC 379, 457",2026-07-10 07:25:00,registered,Backend-seeded FIR for CR-2026-DET-305; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-305.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-305.pdf"", ""size"": 284100}]",demo,,,,124b3cca-8396-43ad-8f73-8609d1ce7394,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-338/DET/2026,3f2f47d0-bdf2-4e4b-9522-b0817a98cf12,c01b3bfb-4c1b-4e70-bd24-9411fd4745f0,Arun Kumar,+91 98800 00038,"IPC 379, 457",2025-12-24 02:55:00,registered,Backend-seeded FIR for CR-2026-DET-239; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-239.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-239.pdf"", ""size"": 284100}]",demo,,,,12ef9abb-b23d-4b62-81ff-f40422e7f6da,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-377/DET/2026,96943fd5-c225-4eb9-9487-64ecc9b83be2,c64ed64b-cdd0-4f79-9a2a-f2df9ce61320,State Complainant,,"IPC 447, 506",2026-04-21 10:35:00,registered,Backend-seeded FIR for CR-2026-DET-278; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-278.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-278.pdf"", ""size"": 284100}]",demo,,,,13e55f12-36a6-43da-a273-c680d1ef103a,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-961/RMN/2026,16a90dc1-c0a2-4ffa-b3cb-5d4b90dd981f,5121147d-f1ba-4bf4-9391-f5b7bb9124fb,State Complainant,,"IPC 392, 395",2026-08-13 07:40:00,registered,Backend-seeded FIR for CR-2026-RMN-001; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-RMN-001.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-RMN-001.pdf"", ""size"": 284100}]",demo,,,,14e231c9-3b80-40d8-8354-bee43c66b4f5,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-602/BRL/2026,de24f080-9816-4242-b058-caf5d20b7385,f4d572c8-e03b-4fe6-ac9e-c227c2dd9d4c,State Complainant,,MMDR Act 21,2026-08-17 02:45:00,registered,Backend-seeded FIR for CR-2026-BRL-002; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-BRL-002.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-BRL-002.pdf"", ""size"": 284100}]",demo,,,,1567f587-eb30-4e18-8598-f423a051d86c,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-141/DET/2026,78185305-270e-4b64-b9b5-7cc36b5b6333,b19d0b00-458c-4d08-b530-342a4d4f368b,State Complainant,,"IPC 447, 506",2024-05-12 10:35:00,closed,Backend-seeded FIR for CR-2026-DET-042; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-042.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-042.pdf"", ""size"": 284100}]",demo,,,,15ddd2a9-c297-4e95-aea2-e0523ee1969d,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-226/DET/2026,f1504c10-ba8d-4a6f-8627-a7e8eb75dc0f,6d399214-9acb-4a0b-98c8-ae0b2a17b775,State Complainant,,"IPC 420, IT Act 66D",2025-01-22 14:35:00,closed,Backend-seeded FIR for CR-2026-DET-127; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-127.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-127.pdf"", ""size"": 284100}]",demo,,,,18b8a1d8-4ceb-41af-a390-8dc38432761a,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-408/DET/2026,b36cc217-9b8b-49df-96ac-79e887a7a0aa,d90df2b2-c392-4aed-8af3-1024b8d7e0a0,Vijaya Kumari,+91 98800 00031,"IPC 379, 457",2026-07-24 06:45:00,registered,Backend-seeded FIR for CR-2026-DET-309; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-309.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-309.pdf"", ""size"": 284100}]",demo,,,,1aaa32e0-53e9-4da5-af54-b92afbdc3743,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-302/DET/2026,74a6f585-8307-4485-9def-e5a95fcb20cb,83c263dd-8664-438d-8f3e-f73f66c623f9,Rajendra Prasad,+91 98800 00009,"IPC 447, 506",2025-09-09 15:45:00,registered,Backend-seeded FIR for CR-2026-DET-203; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-203.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-203.pdf"", ""size"": 284100}]",demo,,,,1b6f6d9d-6c27-4b37-8ec4-c8b3a0872c1f,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-301/DET/2026,d886f95c-3c74-4622-98bb-494d34eea3e6,f36f5a0e-c026-4c91-9ec4-02b25920283e,Rajendra Prasad,+91 98800 00009,"DV Act, IPC 498A",2025-09-04 22:40:00,registered,Backend-seeded FIR for CR-2026-DET-202; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-202.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-202.pdf"", ""size"": 284100}]",demo,,,,1ba22e49-a9cb-4b64-b4ad-442abc811d0e,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-249/DET/2026,d1889cad-710d-43df-a3b2-12ca8952bbbb,19ac4d07-7b48-4c0f-b27c-c36fdb9bf801,Gopal Krishna,+91 98800 00022,"IPC 323, 324",2025-04-05 18:40:00,closed,Backend-seeded FIR for CR-2026-DET-150; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-150.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-150.pdf"", ""size"": 284100}]",demo,,,,1df0ef1b-2ea5-46de-bdff-fce2c7e49350,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-329/DET/2026,76745a3e-3688-4601-97c6-aa5c46fc5f4f,643e99ee-2480-49cb-b1b0-23ff69b53493,State Complainant,,"IPC 379, 457",2025-11-29 04:40:00,closed,Backend-seeded FIR for CR-2026-DET-230; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-230.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-230.pdf"", ""size"": 284100}]",demo,,,,1e0de05e-cf14-450c-aec9-db577d935b21,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-110/DET/2026,ca85f5aa-73aa-430a-a4cb-320008b8004e,8e38105b-15a3-48cb-8fe4-88a34542ccfa,State Complainant,,"IPC 447, 506",2024-02-09 20:10:00,registered,Backend-seeded FIR for CR-2026-DET-011; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-011.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-011.pdf"", ""size"": 284100}]",demo,,,,1e81bcf5-6b55-46ec-9d3e-31f49f303ca5,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-261/DET/2026,bc10eda1-7c9a-473c-a1b5-0be86b966815,d90df2b2-c392-4aed-8af3-1024b8d7e0a0,Kavita Banakar,+91 98800 00028,MMDR Act 21,2025-05-10 07:55:00,registered,Backend-seeded FIR for CR-2026-DET-162; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-162.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-162.pdf"", ""size"": 284100}]",demo,,,,1f0ea335-b85b-43e1-b040-8ca0e09766a0,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-376/DET/2026,7ce4d244-d2cf-4f7e-9c62-341bfc29df4f,ca5236a4-32f9-4a78-8e38-29bb36d03874,State Complainant,,"DV Act, IPC 498A",2026-04-21 22:10:00,registered,Backend-seeded FIR for CR-2026-DET-277; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-277.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-277.pdf"", ""size"": 284100}]",demo,,,,1f8e69b6-dc14-4d97-99b8-4de8a1c2f0ee,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-176/DET/2026,65cd4c20-1fb9-4c02-aaeb-6ad8a3fd4563,83c263dd-8664-438d-8f3e-f73f66c623f9,State Complainant,,"IPC 447, 506",2024-08-26 15:00:00,registered,Backend-seeded FIR for CR-2026-DET-077; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-077.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-077.pdf"", ""size"": 284100}]",demo,,,,200c472d-772d-4d2d-a2ef-5cbb609b9c1a,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-136/DET/2026,3f37c4dc-5b3a-40f8-ae41-ee7169171f0c,27fea9ae-f398-4c45-a286-94af0bd08807,Hema Malini,+91 98800 00023,MMDR Act 21,2024-04-28 00:15:00,closed,Backend-seeded FIR for CR-2026-DET-037; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-037.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-037.pdf"", ""size"": 284100}]",demo,,,,2138306d-7485-4d0f-b585-8255456c4642,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-402/DET/2026,eb432492-c10b-40fe-a04a-3c66d8a6173f,905faca5-a4ac-49a1-bc88-1d5e1907b6cb,Mohan Krishna,+91 98800 00007,"DV Act, IPC 498A",2026-07-05 00:25:00,registered,Backend-seeded FIR for CR-2026-DET-303; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-303.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-303.pdf"", ""size"": 284100}]",demo,,,,21df018e-2e19-4ecf-a55b-12704293c2e9,2026-08-29 12:45:08,2026-08-29 12:45:08
FIR-852/KDG/2026,580a3a56-4418-47d0-a4a2-89423ea37223,e44eac9d-cdbe-4431-b175-c6dd48feca28,State Complainant,,"IPC 379, 457",2026-08-10 02:40:00,registered,Backend-seeded FIR for CR-2026-KDG-002; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-KDG-002.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-KDG-002.pdf"", ""size"": 284100}]",demo,,,,21f10778-298e-4730-bd27-6dc52465fc9e,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-502/UKN/2026,17d7c3cb-7fcf-49d5-94e3-c4def941e570,8e38105b-15a3-48cb-8fe4-88a34542ccfa,State Complainant,,"NDPS 20, 21",2026-08-09 05:45:00,registered,Backend-seeded FIR for CR-2026-UKN-002; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-UKN-002.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-UKN-002.pdf"", ""size"": 284100}]",demo,,,,220a5efe-2da0-40e9-9f52-288d1c4ec940,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-185/DET/2026,1a23043e-157a-47ac-b591-1acbfb762a9a,bf35b187-ebe7-4b59-8410-4293f883621a,Dr. Vinay Murthy,+91 98800 00002,"IPC 447, 506",2024-09-24 00:45:00,closed,Backend-seeded FIR for CR-2026-DET-086; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-086.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-086.pdf"", ""size"": 284100}]",demo,,,,22f34f50-d166-4519-9d59-1425d6c78579,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-217/DET/2026,b48cdc49-61ba-4b7e-a61f-d891a6c8b4b5,6d399214-9acb-4a0b-98c8-ae0b2a17b775,State Complainant,,"IPC 447, 506",2024-12-27 11:20:00,closed,Backend-seeded FIR for CR-2026-DET-118; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-118.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-118.pdf"", ""size"": 284100}]",demo,,,,23012c51-942c-42a4-861c-88c32fe05bcf,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-151/DET/2026,ba401153-a203-4d3c-97bc-6657669fcfd2,c01b3bfb-4c1b-4e70-bd24-9411fd4745f0,State Complainant,,"NDPS 21, 22",2024-06-13 08:25:00,closed,Backend-seeded FIR for CR-2026-DET-052; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-052.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-052.pdf"", ""size"": 284100}]",demo,,,,2394dacc-16eb-4786-ba1d-4c49ab6fa7bc,2026-08-29 12:45:07,2026-08-29 12:45:07
FIR-252/DET/2026,e6fc639f-f04c-43b8-97fc-4ee36ce71bc3,bf35b187-ebe7-4b59-8410-4293f883621a,Ayesha Parveen,+91 98800 00016,"IPC 379, 457",2025-04-12 04:30:00,registered,Backend-seeded FIR for CR-2026-DET-153; derived from the Police FIR ER model.,"[{""name"": ""complaint_copy_CR-2026-DET-153.pdf"", ""size"": 154200}, {""name"": ""spot_mahazar_CR-2026-DET-153.pdf"", ""size"": 284100}]",demo,,,,2422f264-3148-434e-a446-c7cbebe1df90,2026-08-29 12:45:08,2026-08-29 12:45:08
