id,supabase_user_id,user_id,badge_number,name,rank,station,district,designation,phone,email,status,image_url,dataset_provenance,source_import_job_id,source_file,source_row_ref
acc858d7-dc3e-591e-a891-113673da720a,,,TN-OFFICER-000018,Tamil Nadu Officer OFFICER-000018,Superintendent,ARIYALUR Station,ARIYALUR,Sub-Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000018
b6188cbd-00c5-5972-bb28-43ebf4f7419f,,,TN-OFFICER-000019,Tamil Nadu Officer OFFICER-000019,Sub-Inspector,NAMAKKAL Station,NAMAKKAL,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000019
dc30e74d-7a01-50dd-9d08-1a75ff3faa65,,,TN-OFFICER-000020,Tamil Nadu Officer OFFICER-000020,Deputy Superintendent,THENI Station,THENI,Station House Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000020
e1342277-6279-5778-8d73-d80f53a23563,,,TN-OFFICER-000021,Tamil Nadu Officer OFFICER-000021,Sub-Inspector,THENI Station,THENI,Station House Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000021
dbcf748e-9346-5f48-b476-487965607bb1,,,TN-OFFICER-000022,Tamil Nadu Officer OFFICER-000022,Deputy Superintendent,KRISHNAGIRI Station,KRISHNAGIRI,Investigator,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000022
409a3a0c-6443-5a3d-bc16-fada10dff36d,,,TN-OFFICER-000023,Tamil Nadu Officer OFFICER-000023,Assistant Superintendent,KALLAKURICHI Station,KALLAKURICHI,Station House Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000023
eaee4615-9387-5fa1-b86f-6ffb713011e8,,,TN-OFFICER-000024,Tamil Nadu Officer OFFICER-000024,Inspector,CHENGALPATTU Station,CHENGALPATTU,Sub-Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000024
ca579d66-d5bd-52be-b560-ecfd976735fc,,,TN-OFFICER-000025,Tamil Nadu Officer OFFICER-000025,Sub-Inspector,RAMESWARAM Station,RAMESWARAM,Circle Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000025
699f6adb-7eec-56ef-bed7-374f9f77dded,,,TN-OFFICER-000026,Tamil Nadu Officer OFFICER-000026,Constable,KARUR Station,KARUR,Sub-Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000026
0cf1eaa1-1b42-59fb-a8bb-28fb7bf30e73,,,TN-OFFICER-000027,Tamil Nadu Officer OFFICER-000027,Superintendent,THIRUVALLUR Station,THIRUVALLUR,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000027
a8358513-0287-5ec9-b89b-59d32ee4b9d8,,,TN-OFFICER-000028,Tamil Nadu Officer OFFICER-000028,Sub-Inspector,RAMANATHAPURAM Station,RAMANATHAPURAM,Station House Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000028
72d71689-7d53-52a3-9d39-2fd51c3fee89,,,TN-OFFICER-000029,Tamil Nadu Officer OFFICER-000029,Constable,TIRUVANNAMALAI Station,TIRUVANNAMALAI,Circle Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000029
f37a0b71-0175-567a-99ba-642dbe2211c5,,,TN-OFFICER-000030,Tamil Nadu Officer OFFICER-000030,Deputy Superintendent,TENKASI Station,TENKASI,Circle Inspector,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000030
8914a91d-ac4d-5643-8648-8f286947b444,,,TN-OFFICER-000031,Tamil Nadu Officer OFFICER-000031,Assistant Superintendent,KUMBAKONAM Station,KUMBAKONAM,Station House Officer,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000031
179f940c-1694-5516-8e54-ae26103dbe59,,,TN-OFFICER-000032,Tamil Nadu Officer OFFICER-000032,Deputy Superintendent,NAGAPATTINAM Station,NAGAPATTINAM,Investigator,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000032
f38283be-0dfd-5dc0-9823-5d362a0dba99,,,TN-OFFICER-000033,Tamil Nadu Officer OFFICER-000033,Constable,VIRUDHUNAGAR Station,VIRUDHUNAGAR,Investigator,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000033
0d3084e3-04d3-5ed1-8f9a-0bfcaf303df8,,,TN-OFFICER-000034,Tamil Nadu Officer OFFICER-000034,Assistant Superintendent,TIRUVANNAMALAI Station,TIRUVANNAMALAI,Police Officer,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000034
2eac2501-6831-50ac-a6d4-4bbedcaadf01,,,TN-OFFICER-000035,Tamil Nadu Officer OFFICER-000035,Deputy Superintendent,KARUR Station,KARUR,Sub-Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000035
78ceeca1-5ad8-518b-a99b-74a33161432a,,,TN-OFFICER-000036,Tamil Nadu Officer OFFICER-000036,Sub-Inspector,RAMANATHAPURAM Station,RAMANATHAPURAM,Station House Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000036
4b52887a-45ea-54e2-b4d8-50ac129e26d0,,,TN-OFFICER-000037,Tamil Nadu Officer OFFICER-000037,Sub-Inspector,RAMESWARAM Station,RAMESWARAM,Station House Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000037
53c4e923-ce35-5a5f-9ce2-2577587017af,,,TN-OFFICER-000038,Tamil Nadu Officer OFFICER-000038,Assistant Superintendent,THOOTHUKUDI Station,THOOTHUKUDI,Sub-Inspector,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000038
0bba3245-388c-5251-a324-9778de293438,,,TN-OFFICER-000039,Tamil Nadu Officer OFFICER-000039,Sub-Inspector,DINDIGUL Station,DINDIGUL,Station House Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000039
de2acd09-37cb-57d4-b1cf-b17177e11ed4,,,TN-OFFICER-000040,Tamil Nadu Officer OFFICER-000040,Constable,MADURAI Station,MADURAI,Investigator,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000040
abc83664-ecb7-5c11-b890-c400ef855e23,,,TN-OFFICER-000041,Tamil Nadu Officer OFFICER-000041,Superintendent,COIMBATORE Station,COIMBATORE,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000041
ad9e9eef-1fd5-5887-be01-7ddb42ce618d,,,TN-OFFICER-000042,Tamil Nadu Officer OFFICER-000042,Superintendent,RANIPET Station,RANIPET,Investigator,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000042
05b6880e-2ba4-59e6-b446-38767b494781,,,TN-OFFICER-000043,Tamil Nadu Officer OFFICER-000043,Constable,THE_NILGIRIS Station,THE_NILGIRIS,Circle Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000043
5b77db7e-4e07-50ce-9a00-8dfc67addbff,,,TN-OFFICER-000044,Tamil Nadu Officer OFFICER-000044,Assistant Superintendent,KUMBAKONAM Station,KUMBAKONAM,Police Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000044
f41cc88c-8f58-590b-9d23-d7b272f1bd0d,,,TN-OFFICER-000045,Tamil Nadu Officer OFFICER-000045,Superintendent,ARIYALUR Station,ARIYALUR,Circle Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000045
db31ec31-d850-5d4e-ab75-f0f1818c0a3e,,,TN-OFFICER-000046,Tamil Nadu Officer OFFICER-000046,Inspector,CHENGALPATTU Station,CHENGALPATTU,Police Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000046
6ceb1210-9d73-531c-9ae5-e17c21fdc3d3,,,TN-OFFICER-000047,Tamil Nadu Officer OFFICER-000047,Superintendent,THE_NILGIRIS Station,THE_NILGIRIS,Investigator,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000047
72e3c1a5-e136-5d84-9e6e-d1afa3de5638,,,TN-OFFICER-000048,Tamil Nadu Officer OFFICER-000048,Superintendent,KANCHEEPURAM Station,KANCHEEPURAM,Circle Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000048
4a18635b-08e5-5599-99c5-c3189af13aa0,,,TN-OFFICER-000049,Tamil Nadu Officer OFFICER-000049,Superintendent,DHARMAPURI Station,DHARMAPURI,Station House Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000049
fcbe5ce5-69bf-5d2c-a251-3c8ea012cd2e,,,TN-OFFICER-000050,Tamil Nadu Officer OFFICER-000050,Inspector,VIRUDHUNAGAR Station,VIRUDHUNAGAR,Investigator,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000050
fca1e715-01f5-5e35-844d-7e4b4751a294,,,TN-OFFICER-000051,Tamil Nadu Officer OFFICER-000051,Deputy Superintendent,ERODE Station,ERODE,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000051
915b0279-ecd1-5d4b-b8db-1ff16a5f3255,,,TN-OFFICER-000052,Tamil Nadu Officer OFFICER-000052,Constable,DHARMAPURI Station,DHARMAPURI,Investigator,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000052
1ef65002-5059-5c14-81d4-1c27c93229c8,,,TN-OFFICER-000053,Tamil Nadu Officer OFFICER-000053,Constable,NAMAKKAL Station,NAMAKKAL,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000053
b9344789-1700-58e9-86d4-1fd7786d154e,,,TN-OFFICER-000054,Tamil Nadu Officer OFFICER-000054,Deputy Superintendent,RAMANATHAPURAM Station,RAMANATHAPURAM,Circle Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000054
0377d6a3-a071-528a-a525-5f6efb14b2a5,,,TN-OFFICER-000055,Tamil Nadu Officer OFFICER-000055,Deputy Superintendent,KANCHEEPURAM Station,KANCHEEPURAM,Sub-Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000055
89d9f72e-d834-58cc-8e1c-caad3cd1c73d,,,TN-OFFICER-000056,Tamil Nadu Officer OFFICER-000056,Deputy Superintendent,THENI Station,THENI,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000056
5fbfd655-07ba-5d5d-b216-2cebef5b4cf7,,,TN-OFFICER-000057,Tamil Nadu Officer OFFICER-000057,Assistant Superintendent,THIRUVALLUR Station,THIRUVALLUR,Investigator,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000057
5c394562-00d4-50bb-88b4-73cd1823d474,,,TN-OFFICER-000058,Tamil Nadu Officer OFFICER-000058,Constable,DHARMAPURI Station,DHARMAPURI,Station House Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000058
6d4848ae-56f4-51bf-851a-c747c18d2b19,,,TN-OFFICER-000059,Tamil Nadu Officer OFFICER-000059,Inspector,KARUR Station,KARUR,Investigator,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000059
0c9a5fa9-e9d0-5968-aba2-0c21414ae112,,,TN-OFFICER-000060,Tamil Nadu Officer OFFICER-000060,Superintendent,ERODE Station,ERODE,Investigator,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000060
4c186d32-3737-5e43-97ee-565c196c20cc,,,TN-OFFICER-000061,Tamil Nadu Officer OFFICER-000061,Constable,MAYILADUTHURAI Station,MAYILADUTHURAI,Investigator,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000061
d20ab122-aa38-5cf0-857a-574c72657368,,,TN-OFFICER-000062,Tamil Nadu Officer OFFICER-000062,Constable,TIRUPPUR Station,TIRUPPUR,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000062
e9416233-c610-59e6-a631-1e9f08f1cc7c,,,TN-OFFICER-000063,Tamil Nadu Officer OFFICER-000063,Sub-Inspector,VIRUDHUNAGAR Station,VIRUDHUNAGAR,Circle Inspector,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000063
867ba876-e8fb-5d61-a033-04ae64b18c79,,,TN-OFFICER-000064,Tamil Nadu Officer OFFICER-000064,Constable,THE_NILGIRIS Station,THE_NILGIRIS,Circle Inspector,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000064
a1bcb78f-4fb7-5524-b1e6-6972ba347ec6,,,TN-OFFICER-000065,Tamil Nadu Officer OFFICER-000065,Deputy Superintendent,KANYAKUMARI Station,KANYAKUMARI,Investigator,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000065
ac1bbf09-2a87-514c-a84c-79608042dd64,,,TN-OFFICER-000066,Tamil Nadu Officer OFFICER-000066,Constable,CHENNAI Station,CHENNAI,Police Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000066
8e3482a4-6856-51a0-b827-833bae5728f0,,,TN-OFFICER-000067,Tamil Nadu Officer OFFICER-000067,Deputy Superintendent,THIRUVALLUR Station,THIRUVALLUR,Investigator,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000067
8a7fb721-0204-5e43-9d1e-45ebf1678b92,,,TN-OFFICER-000068,Tamil Nadu Officer OFFICER-000068,Assistant Superintendent,KANCHEEPURAM Station,KANCHEEPURAM,Police Officer,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000068
3655d181-f9d7-5bdd-853d-0e14113c3b21,,,TN-OFFICER-000069,Tamil Nadu Officer OFFICER-000069,Inspector,CHENGALPATTU Station,CHENGALPATTU,Station House Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000069
2088bb64-8f29-55d2-9800-4e82cf40e64f,,,TN-OFFICER-000070,Tamil Nadu Officer OFFICER-000070,Sub-Inspector,SIVAGANGA Station,SIVAGANGA,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000070
541ca7e8-c2c1-5b17-bf77-1216bfc12456,,,TN-OFFICER-000071,Tamil Nadu Officer OFFICER-000071,Deputy Superintendent,TIRUPATHUR Station,TIRUPATHUR,Sub-Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000071
7a15d863-f84c-5b2d-ab9e-bdf77d506600,,,TN-OFFICER-000072,Tamil Nadu Officer OFFICER-000072,Constable,THIRUVARUR Station,THIRUVARUR,Police Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000072
9c185987-e685-50e2-bab9-ba20729dbef3,,,TN-OFFICER-000073,Tamil Nadu Officer OFFICER-000073,Superintendent,MADURAI Station,MADURAI,Station House Officer,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000073
df5a1d87-0b66-5c8b-9f1c-469f795406e7,,,TN-OFFICER-000074,Tamil Nadu Officer OFFICER-000074,Superintendent,KANCHEEPURAM Station,KANCHEEPURAM,Police Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000074
b86c3ae0-d1fd-5545-944c-57d073e01b1e,,,TN-OFFICER-000075,Tamil Nadu Officer OFFICER-000075,Assistant Superintendent,TIRUVANNAMALAI Station,TIRUVANNAMALAI,Sub-Inspector,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000075
a93fce13-bd22-5d6b-9cd9-db019d81d316,,,TN-OFFICER-000076,Tamil Nadu Officer OFFICER-000076,Deputy Superintendent,KARUR Station,KARUR,Police Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000076
0589ff8b-4b1c-59af-ac07-1d7c19a34ca0,,,TN-OFFICER-000077,Tamil Nadu Officer OFFICER-000077,Deputy Superintendent,KANYAKUMARI Station,KANYAKUMARI,Investigator,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000077
0f3e0985-b1b9-542c-a8e8-53565c58f185,,,TN-OFFICER-000078,Tamil Nadu Officer OFFICER-000078,Sub-Inspector,VILUPPURAM Station,VILUPPURAM,Station House Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000078
c589b4a4-4052-5b2d-a83a-8d6619c1163a,,,TN-OFFICER-000079,Tamil Nadu Officer OFFICER-000079,Sub-Inspector,PUDUKOTTAI Station,PUDUKOTTAI,Sub-Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000079
5293bd96-0288-5ab6-a8dd-fc03f6be6f86,,,TN-OFFICER-000080,Tamil Nadu Officer OFFICER-000080,Constable,MADURAI Station,MADURAI,Police Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000080
c5440dcc-7794-503d-81b7-171ad78402ab,,,TN-OFFICER-000081,Tamil Nadu Officer OFFICER-000081,Sub-Inspector,KARUR Station,KARUR,Investigator,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000081
8a03d4ff-02c9-52a9-8871-d5afbc007a53,,,TN-OFFICER-000082,Tamil Nadu Officer OFFICER-000082,Superintendent,PUDUKOTTAI Station,PUDUKOTTAI,Sub-Inspector,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000082
3159bd29-5798-5c50-a3e1-67efed861512,,,TN-OFFICER-000083,Tamil Nadu Officer OFFICER-000083,Sub-Inspector,CHENNAI Station,CHENNAI,Sub-Inspector,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000083
6d31420c-0f65-51ee-a954-bd8417678143,,,TN-OFFICER-000084,Tamil Nadu Officer OFFICER-000084,Inspector,MADURAI Station,MADURAI,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000084
128b6ccb-9bab-529b-b5ee-23c03e640f89,,,TN-OFFICER-000085,Tamil Nadu Officer OFFICER-000085,Inspector,PUDUKOTTAI Station,PUDUKOTTAI,Police Officer,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000085
d8a5e9af-356c-5775-b949-e83d7e16f78a,,,TN-OFFICER-000086,Tamil Nadu Officer OFFICER-000086,Assistant Superintendent,NAGAPATTINAM Station,NAGAPATTINAM,Investigator,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000086
d48b5ae9-b075-523b-be8a-7fb3975ae973,,,TN-OFFICER-000087,Tamil Nadu Officer OFFICER-000087,Inspector,KANCHEEPURAM Station,KANCHEEPURAM,Police Officer,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000087
7e759853-e7fe-59b1-b848-26bc02313259,,,TN-OFFICER-000088,Tamil Nadu Officer OFFICER-000088,Deputy Superintendent,PUDUKOTTAI Station,PUDUKOTTAI,Station House Officer,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000088
9d3f5bcb-ee0b-5ed1-8723-e2c99bb3a1f9,,,TN-OFFICER-000089,Tamil Nadu Officer OFFICER-000089,Assistant Superintendent,NAGAPATTINAM Station,NAGAPATTINAM,Police Officer,,,retired,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000089
ef876810-5b67-5b53-b3a9-35ecdc04c60f,,,TN-OFFICER-000090,Tamil Nadu Officer OFFICER-000090,Assistant Superintendent,ARIYALUR Station,ARIYALUR,Circle Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000090
35107fab-8d72-52a9-80e6-4209b4713134,,,TN-OFFICER-000091,Tamil Nadu Officer OFFICER-000091,Constable,ARIYALUR Station,ARIYALUR,Circle Inspector,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000091
8fb10280-c116-5007-914f-542c59b7f716,,,TN-OFFICER-000092,Tamil Nadu Officer OFFICER-000092,Sub-Inspector,DINDIGUL Station,DINDIGUL,Station House Officer,,,suspended,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000092
76c2b881-9d99-5063-af02-e1a761939a9a,,,TN-OFFICER-000093,Tamil Nadu Officer OFFICER-000093,Constable,KUMBAKONAM Station,KUMBAKONAM,Circle Inspector,,,active,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000093
cdbb3c67-1ba4-50b0-a523-a8b7d4b49195,,,TN-OFFICER-000094,Tamil Nadu Officer OFFICER-000094,Superintendent,VIRUDHUNAGAR Station,VIRUDHUNAGAR,Circle Inspector,,,transferred,,imported,12fe593e-e883-5cac-9710-f2ba74198299,13_officer.csv,OFFICER-000094
